nombre,marca,cantidades_disponibles,precio,precio_original,descripcion,referencia,url_producto,url_imagen
YVES SAINT LAURENT LIBRE EDP 100 Ml REFILL,,100ml,$265.000,,"LIBRE: EL PERFUME DE LA LIBERTAD DE YVES SAINT LAURENT YSL, a la vanguardia de la belleza de lujo desde hace más de 50 años, revela su nuevo perfume: LIBRE. LIBRE rinde homenaje al valor más duradero y que mejor define a YSL: la libertad. La libertad de ser tú misma. La libertad de elegir. La libertad de vivirlo todo al máximo. Sin compromisos. Tus propias normas.",6642,https://www.rp-luxury.com/es/fragancias-femeninas/6642-5165-yves-saint-laurent-libre-edp-100-ml-refill.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6642.jpg
ARMANI SI EDP INTENSE 100 Ml RECHARGE,,100ml,$239.000,,"Sì es la palabra más poderosa. Siente el poder de Sì con el nuevo eau de parfum intenso y abraza las infinitas posibilidades de la vida. La nueva fragancia contrastante e hipersensorial está envuelta en una estructura ambarina. Es una mezcla del característico néctar de grosella negra potenciado por un corazón floral aterciopelado y un sensual bouquet de vainilla. Elaborado con un savoir-faire único en la elaboración del vidrio, el nuevo frasco joya está adornado con el logotipo dorado de Sì, grabado en el vidrio. Es una declaración poderosa para invitar a todas las mujeres a decir Sì. El precioso frasco está diseñado para durar, es rellenable y reciclable.",6638,https://www.rp-luxury.com/es/fragancias-femeninas/6638-5159-armani-si-edp-intense-100-ml-recharge-.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6638.jpg
RABANNE FAME INTENSE EAU DE PARFUM,,30ml | 50ml,$172.000,,Revelá tu luz interior con FAME Intense de RABANNE. Revelá la estrella que llevas dentro con FAME Intense de RABANNE. Más traviesa. Más irreverente. Sé la estrella con FAME Intense de RABANNE. Volvete tan atrevida como el oro con FAME Intense de Rabanne.,6627,https://www.rp-luxury.com/es/fragancias-femeninas/6627-5137-rabanne-fame-intense-eau-de-parfum.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6627.jpg
NARCISO RODRIGUEZ MUSC NUDE FOR HER EDP,,50ml | 100ml,$288.000,,"Para ella MUSC NUDE es una fragancia sensual que aporta una nueva y delicada faceta al icónico de su colección. Desarrollada para acompañar y celebrar el aroma único de la mujer que la porta, esta fragancia sublime envuelve el cuerpo en un cálido abrazo, como una segunda piel.",6615,https://www.rp-luxury.com/es/fragancias-femeninas/6615-5115-narciso-rodriguez-musc-nude-for-her-edp.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6615.jpg
YVES SAINT LAURENT BLACK OPIUM EDP OVER RED,,50ml | 90ml,$250.000,,El icónico café floral con una explosión jugosa de cereza Sumérgete en un atrevido nuevo universo frutal y deja  que tus deseos más profundos despierten.,6607,https://www.rp-luxury.com/es/fragancias-femeninas/6607-5109-yves-saint-laurent-black-opium-edp-over-red.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6607.jpg
ARMANI MY WAY NECTAR EAU DE PARFUM,,30ml | 50ml | 90ml,$289.000,,"My Way Eau de Parfum Nectar le invita a un viaje sensorial que captura una visión de la feminidad liberada y alejada de los convencionalismos. Esta fragancia floral afrutada nace del delicioso encuentro entre la pera suculenta y el nardo radiante y se presenta en un nuevo frasco rosa coronado con un tapón rosa translúcido a modo de talismán. El perfume comienza con una explosión de frescor, un acorde de pera jugosa y un acorde vibrante y aromático de ruibarbo. Estas notas afrutadas armonizan con el corazón ácido de bergamota y el fascinante azahar para crear una mezcla intensa y estimulante. En el corazón, un ramo de flores blancas que revela un corazón cremoso de absoluto de nardo. Una mezcla de maderas blancas y madera de cedro cálida realza la infusión de vainilla bourbon, sensual y reconfortante, del fondo, con el agradable efecto segunda piel de los almizcles blancos.",6604,https://www.rp-luxury.com/es/fragancias-femeninas/6604-5103-armani-my-way-nectar-eau-de-parfum.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6604.jpg
ARMANI MY WAY PARFUM 90 Ml RECARGABLE,,90ml,$330.000,,"El nuevo frasco de MY WAY PARFUM crea un impactante contraste entre su tapón azul intenso y el perfume rosa vibrante, ahora con tonos que van del azul oscuro en la base al rosa radiante en el cuello. La gradación de colores refleja el contraste de las notas del perfume, con el azul intenso en la base, que evoca la faceta de Iris, mientras que la Tuberosa se refleja en el rosa de la parte superior. El azul intenso del tapón, una metáfora de la tierra, tiene un aro dorado que aporta un toque lujoso, un símbolo de un camino único iluminado por todos los encuentros tienen lugar en él.",6603,https://www.rp-luxury.com/es/fragancias-femeninas/6603-5102-armani-my-way-parfum-90-ml-recargable.html#/31-talla-90ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6603.jpg
GIVENCHY IRRESISTIBLE VERY FLORAL EDP,,35ml | 50ml | 80ml,$180.000,,"Descubrí tu lado más atrevido con Irresistible Very Floral, el nuevo Eau de Parfum para mujer de Givenchy. Una fragancia con una sofisticación elevada y feminidad empoderada a la que es imposible resistirse. Muy alta costura. Muy irreverente. Muy atrevido. La mujer Very Floral está llena de confianza en sí misma. Más sofisticada que nunca. La cautivadora mezcla de absoluto de rosas y delicadas flores blancas despiertan una adicción floral. El savoir-faire olfativo de Givenchy combina rosa centifolia con absoluto de rosas que lo hace muy floral e intensamente femenino. Un ramo blanco de lirio, Ylang-Ylang y absoluto de jazmín Sambac se despliegan para irradiar una luminosidad solar. La fragancia femenina sorprende por su audacia, revelando un contraste entre las vívidas facetas de la grosella negra y el inesperado frescor del agua de coco. Y para una estela de fragancia persistente, notas amaderadas vibrantes con madera de cedro, creando una fragancia profundamente adictiva. Para este nuevo perfume floral, Givenchy reinventa la botella Irresistible en su diseño más atrevido hasta el momento.",6598,https://www.rp-luxury.com/es/fragancias-femeninas/6598-5092-givenchy-irresistible-very-floral-edp.html#/42-talla-35ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6598.jpg
DIOR MISS DIOR PARFUM,,35ml | 50ml | 80ml | 125ml,$199.500,,"Entre fuerza y gracia, entre temeridad y elegancia. Miss Dior Parfum es el soplo de feminidad y juventud según Dior. Francis Kurkdjian, Director Creativo de los Perfumes Dior, retoma la inspiración olfativa inicial de Miss Dior para impregnarla con el espiritu de la juventud de hoy en dia. El perfumista reinventa el mitico aroma chipre de Miss Dior con una composición que mezcla acordes florales y afrutados con voluptuosas notas de maderas ambarinas. En homenaje al jazmin del perfume Miss Dior original de 1947, Francis Kurkdjian ha seleccionado para Dior un jazmin con facetas extraordinarias, obtenidas mediante un proceso de extracción particular. Este jazmin revela una sorprendente nota afrutada y a rosa, que contrasta con las notas amaderadas y se ilumina con destellos de mandarina. El perfume del Couturier, Miss Dior Parfum se adorna con un lazo ""poignard"" tejido a partir de hilos de lúrex, en un color plateado que evoca el de su nueva etiqueta. El frasco con tonalidades rosas iridiscentes está envuelto por un motivo pata de gallo, emblemático de Miss Dior. Un perfume para mujer floral, afrutado y amaderado, intenso y luminoso, en cuyo corazón brilla la esencia de Miss Dior.",6596,https://www.rp-luxury.com/es/fragancias-femeninas/6596-5088-dior-miss-dior-parfum.html#/42-talla-35ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6596.jpg
RABANNE OLYMPEA PARFUM,,30ml | 50ml | 80ml,$195.000,,Dejá que tu aura divina brille con OLYMPÉA PARFUM de Rabanne: un acorde vegetal luminoso con jazmín solar y vainilla misteriosa en una fragancia femenina hipnótica.,6484,https://www.rp-luxury.com/es/lanzamientos/6484-4984-rabanne-olympea-parfum.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6484.jpg
MOSCHINO I LOVE LOVE EAU DE TOILETTE 50 Ml,,50ml,$133.000,,"I love love es una fragancia fresca que captura la alegría de estar enamorado. Una mezcla vivaz de cítricos chispeantes, flores delicadas y maderas cálidas. El frasco es una reinterpretación de la forma emblemática cheap and chic con una explosión de colores.",6587,https://www.rp-luxury.com/es/fragancias-femeninas/6587-6428-moschino-i-love-love-eau-de-toilette-50-ml.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6587.jpg
DOLCE & GABBANA Q EDP INTENSE,,50ml | 100ml,$270.000,,"El icónico perfume Q by Dolce&Gabbana se vuelve aún más intrigante en la nueva versión Eau de Parfum Intense. La fragancia desprende una mezcla de notas intensas, marcadas y decididamente sensuales. Para una feminidad sin concesiones. El original perfume Q by Dolce&Gabbana se vuelve aún más atrevido en la nueva versión Eau de Parfum Intense. Las notas cálidas de cereza negra se mezclan con un corazón de embriagador heliotropo. Aunque es en el fondo donde revela su naturaleza ambarina irresistiblemente sensual.",6585,https://www.rp-luxury.com/es/fragancias-femeninas/6585-5072-dolce-gabbana-q-edp-intense.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6585.jpg
NINA RICCI L AIR DU TEMPS  ATELIER ANNE BRUN EDP  50,,50ml,$170.000,,"Nina Ricci revisita la icónica fragancia L'Air du Temps en colaboración con la artesana francesa Anne Brun. Con su frasco dorado y su aroma radiante, esta nueva edición limitada de Eau de Parfum es una oda al arte de dorar.",6580,https://www.rp-luxury.com/es/fragancias-femeninas/6580-5068-nina-ricci-l-air-du-temps-atelier-anne-brun-edp-50.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6580.jpg
KATE SPADE NEW YORK BLOOM EAU DE TOILETTE,,40ml | 60ml | 100ml,$189.000,,"¿Buscas un nuevo aroma característico? Descubre Bloom, nuestra nueva Eau de Toilette con un perfil irresistiblemente fresco y radiante. La fragancia se abre con notas de Lemon Primofiore (""primera floración"" en italiano), en una refrescante mezcla de manzana Granny Smith y esencia de naranja dulce. Siguen notas de camelia blanca, flor de naranja y ylang-ylang para crear el elegante ramo floral en el corazón de la fragancia. A medida que avanza el día, emergen notas de fondo de madera de cedro, cachemira y sándalo para envolverte en un velo cálido y amaderado.",6462,https://www.rp-luxury.com/es/fragancias-femeninas/6462-4968-kate-spade-new-york-bloom-eau-de-toilette.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6462.jpg
TOUS LOVEME THE ESMERALD ELIXIR PARFUM,,30ml | 50ml | 90ml,$236.500,,"Inspirado en la esmeralda, este perfume te hará disfrutar la vida al máximo y mostrar tu lado más irresistible.",6424,https://www.rp-luxury.com/es/fragancias-femeninas/6424-6165-tous-loveme-the-esmerald-elixir-parfum.html#/31-talla-90ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6424.jpg
JEAN PAUL GAULTIER LA BELLE PARADISE GARDEN EDP,,30ml | 50ml | 100ml,$190.300,,"La Belle Paradise Garden, el nuevo tentador edén de esplendor y placeres prohibidos de Jean Paul Gaultier. Coloreado con criaturas y flores exóticas, el flamante jardín de Gaultier se inspira en el desfile de moda otoño-invierno 2010-2011 para crear un tentador edén de esplendor y placeres prohibidos. En este exuberante paraíso, La Belle Paradise Garden y Le Beau Paradise Garden comparten una pasión que lo consume todo. Adornado con un deslumbrante collar de plantas, coloreado con detalles de alta costura, su desnudo frasco azul laguna hechiza los sentidos con una indomable sensualidad natural. Dejate seducir por este néctar afrodisíaco con notas florales y avainilladas.",6400,https://www.rp-luxury.com/es/lanzamientos/6400-4913-jean-paul-gaultier-la-belle-paradise-garden-edp.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6400.jpg
MOSCHINO TOY2 PEARL EAU DE PARFUM,,30ml | 50ml | 100ml,$123.900,,"Frasco en forma de Moschino Teddy Bear que recuerda los fondos marinos y el nácar de Tahití Cada frasco tiene diferentes tonos para enfatizar el cuidado, el refinamiento y la singularidad de los productos",6393,https://www.rp-luxury.com/es/fragancias-femeninas/6393-4904-moschino-toy2-pearl-eau-de-parfum.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6393.jpg
DIOR JADORE L´OR ESSENCE DE PARFUM,,35ml | 50ml | 80ml,$239.680,$342.400,"Todo el oro de J'adore en un concentrado puro y esencial. Para L'Or de J'adore, Francis Kurkdjian, Director Creativo de Perfumes Dior, exalta la belleza de las flores de J'adore amplificando sus matices y acentuando sus colores. Una esencia de perfume para mujer amplia y voluptuosa donde dialogan las notas de los absolutos de flor de naranjo, jazmín grandiflorum y rosa centifolia. Estas flores son el verdadero oro de J'adore, desplegadas en todo su esplendor en una quintaesencia floral tan poderosa como carnal. El icónico collar curvilíneo del perfume floral J'adore se reinventa para evocar la calidez de su estela hasta convertirse en un metal orgánico y precioso que ondula y abraza el cristal de L'Or de J'adore.",6392,https://www.rp-luxury.com/es/oportuluxury/6392-4903-dior-jadore-lor-essence-de-parfum-.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6392.jpg
ISSEY MIYAKE A DROP EDP ESSENTIELLE,,50ml | 90ml,$230.000,,"A Drop d'Issey Eau de Parfum Essentielle cuenta una nueva historia: una gota de agua impregnada de sutiles notas florales y vegetales. Descubre una fragancia luminosa y etérea inspirada en el rocío de la mañana. Sigue el viaje de una gota de agua de lluvia a través de la naturaleza que captura las notas vegetales y florales que encuentra a su paso antes de evaporarse al amanecer, con los primeros rayos de sol. Siente en tu piel la fragancia sutil de una naturaleza exuberante, con una firma olfativa vegetal y floral fresca. Todd Bracher reinventa el emblemático frasco de A drop d'Issey coloreándolo con tonos verdes para reflejar el poético viaje de una gota que captura las notas vegetales que encuentra a su paso.",6385,https://www.rp-luxury.com/es/fragancias-femeninas/6385-4900-issey-miyake-a-drop-edp-essentielle.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6385.jpg
ARMANI SI EAU DE PARFUM INTENSE,,30ml | 50ml | 100ml,$147.000,$210.000,SÌ EAU DE PARFUM INTENSO Una fragancia chipre ambarina que invita a decir sí a las infinitas posibilidades de la vida.,6382,https://www.rp-luxury.com/es/fragancias-femeninas/6382-4893-armani-si-eau-de-parfum-intense.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6382.jpg
GIVENCHY L'INTERDIT EAU DE PARFUM ROUGE ULTIME,,35ml | 50ml | 80ml,$206.800,,"Descubre el último perfume de Givenchy para mujeres. Givenchy abre un nuevo capítulo rojo con L'Interdit Eau De Parfum Rouge Ultime. Esta nueva fragancia para mujeres es una concentración de excelencia que te invita a abrazar tu singularidad. La icónica Flor Subterránea L'Interdit es una mezcla sublime de notas florales, combinando los aromas de azahar, tuberosa y jazmín, exaltada por la poderosa adicción del cacao. Usualmente descartadas, las cáscaras de cacao son reutilizadas y transformadas para revelar todo el poder del perfume, magnificado por el aroma del pachulí y el acorde de madera de vetiver. Porque el perfume más deseado para mujeres solo puede ser emparejado con el rojo, L'Interdit Eau de Parfum Rouge está vestido con un lacado interior rojo opaco con encaje rojo y un borla de alta costura 4G rojo. Nada más que rojo para el perfume de mujer más seductor. Tu fragancia tendrá un efecto duradero que sublimará cada atuendo.",6368,https://www.rp-luxury.com/es/fragancias-femeninas/6368-4889-givenchy-l-interdit-eau-de-parfum-rouge-ultime.html#/42-talla-35ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6368.jpg
RABANNE FAME PARFUM,,30ml | 50ml | 80ml,$165.000,,"Revelá las facetas más glamorosas de la feminidad moderna con FAME Parfum, la nueva e intensa fragancia chipre amaderada de Rabanne. FAME Parfum captura el espíritu de París por la noche mientras el precioso jazmín seduce a la vista y el cremoso incienso hipnotiza con un efecto hipnótico. Finalmente, el misterioso almizcle mineral se une al intenso acorde para seducir con una atracción magnética. Hecho para la mujer que se entrega a la llamada nocturna.",6367,https://www.rp-luxury.com/es/fragancias-femeninas/6367-4886-rabanne-fame-parfum-.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6367.jpg
CAROLINA HERRERA 212 VIP ROSE ELIXIR EAU DE PARFUM,,30ml | 50ml | 80ml,$190.000,,"212 VIP Rosé Elixir es una interpretación sensual y más intensa de 212 VIP Rosé, presentada en un frasco de purpurina rosa dégradé. Una declaración de alegría, libertad y feminidad, este eau de parfum elixir te invita a celebrar la belleza de ser una misma.",6366,https://www.rp-luxury.com/es/fragancias-femeninas/6366-4883-carolina-herrera-212-vip-rose-elixir-eau-de-parfum.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6366.jpg
CALVIN KLEIN MY EUPHORIA EAU DE PARFUM,,50ml | 100ml,$259.875,,"Ahumado pero dulce, My Euphoria Eau de Parfum captura la esencia de la alegría y la euforia. Esta fragancia se abre con una jugosa esencia de grosella negra y, en el corazón, presenta un acorde femenino de orquídea flambeada que contrasta con el sésamo negro ahumado para un centro floral sofisticado y ardiente. Para completar la base, una mezcla exclusiva de oud, bambú y sándalo crea una faceta amaderada misteriosa.",6364,https://www.rp-luxury.com/es/fragancias-femeninas/6364-4880-calvin-klein-my-euphoria-eau-de-parfum.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6364.jpg
YVES SAINT LAURENT LIBRE LE PARFUM,,50ml,$280.000,,"LIBRE, el nuevo Le Parfum por Yves Saint Laurent. La fragancia de una mujer segura de sí misma, atrevida y carismática, que vive su libertad como el lujo definitivo. La desata el impulso de vivir todo con exceso, de sentir todo amplificado y de vivir libre, ya... Porque la libertad no espera y tú tampoco deberías hacerlo.",6363,https://www.rp-luxury.com/es/fragancias-femeninas/6363-4877-yves-saint-laurent-libre-le-parfum-.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6363.jpg
YVES SAINT LAURENT BLACK OPIUM ILLICIT GREEN EDP,,30ml | 75ml,$189.900,,"HEROÍNA SENSORIAL En el paroxismo de la sensualidad. La mujer Black Opium Eau de Parfum Illicit Green se deja llevar por sus sentidos, atrayéndonos a un mundo festivo y olfativo bajo luces de neón verdes. Para ella, «el perfume es placer», dispuesta a atreverse, agitarlo y sentirlo, durante toda la noche.",,https://www.rp-luxury.com/es/fragancias-femeninas/6362-4876-yves-saint-laurent-black-opium-illicit-green-edp.html#/27-talla-75ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\sin_ref_4347570917772692210.jpg
KENZO FLOWER BY KENZO IKEBANA EAU DE PARFUM,,40ml | 75ml,$233.700,,FLOWER IKEBANA BY KENZO Eau de Parfum rinde homenaje al amor de Kenzo Takada por las flores y por el arte de vivir. Este Eau de Parfum para mujer se encuentra en la encrucijada de dos estéticas: la composición floral y la creatividad olfativa. La perfumista Alexandra Monet y el maestro perfumista Alberto Morillas han escrito este nuevo capítulo perfumado en la historia de Flower by Kenzo.,6352,https://www.rp-luxury.com/es/fragancias-femeninas/6352-4865-kenzo-flower-by-kenzo-ikebana-eau-de-parfum.html#/27-talla-75ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6352.jpg
COACH LOVE EAU DE PARFUM,,30ml | 90ml,$231.000,,Love es una fragancia dinámica inspirada en el sentimiento vibrante y universal del amor y en todas las formas únicas en que lo expresamos.,6349,https://www.rp-luxury.com/es/fragancias-femeninas/6349-4860-coach-love-eau-de-parfum.html#/31-talla-90ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6349.jpg
HERMES TWILLY TUTTI D' HERMES EAU DE PARFUM,,50ml | 85ml,$349.000,,"LA CREACIÓN El Eau de parfum Tutti Twilly d’Hermès, creado por Christine Nagel para las chicas Hermès, rinde homenaje a su espíritu libre, cargado de audacia y ligereza, y a su diversidad. Todas diferentes; este perfume las conecta.",6303,https://www.rp-luxury.com/es/fragancias-femeninas/6303-4803-hermes-twilly-tutti-d-hermes-eau-de-parfum.html#/41-talla-85ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6303.jpg
KARL LAGERFELD MATIERES FLEUR DE MURIER EDP 100 Ml,,100ml,$120.000,,"Fleur de Murier es una fragancia femenina de Karl Lagerfeld es la representación más fiel de lo femenino, se regocija en las distintas facetas de la mujer. Sus notas de salida grosella roja combinada con hojas de frambuesa, sus notas corazón son flor de mora combinado con pétalos de violeta, sus notas de fondo son sándalo, almizcle.",6268,https://www.rp-luxury.com/es/fragancias-femeninas/6268-4773-karl-lagerfeld-matieres-fleur-de-murier-edp-100-ml.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6268.jpg
KARL LAGERFELD MATIERES BOIS DE YUZU EDT 100 Ml,,100ml,$120.000,,"Descubre la fragancia fresca y vibrante de Karl Lagerfeld Bois De Yuzu Eau De Toilette Spray 100ml. Con notas cítricas de yuzu, bergamota y limón, combinadas con toques de jengibre y pimienta rosa, esta fragancia es perfecta para hombres y mujeres que buscan un aroma energizante y sofisticado. Además, su presentación en un elegante frasco de vidrio lo convierte en un regalo ideal para cualquier ocasión. ¡Atrévete a probarla y deja que su aroma te envuelva en una sensación de frescura y vitalidad!",6267,https://www.rp-luxury.com/es/fragancias-masculinas/6267-4772-karl-lagerfeld-matieres-bois-de-yuzu-edt-100-ml.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6267.jpg
KARL LAGERFELD MATIERES FLEUR DE PECHER EDP 100 Ml,,100ml,$120.000,,"Karl Lagerfeld Fleur de Pecher es una fragancia femenina que te transportará a un jardín de flores en plena primavera. Con notas de durazno, pera y bergamota, esta fragancia es fresca y delicada, perfecta para el día a día. Además, su elegante frasco en tonos rosados es un verdadero objeto de deseo. ¡No esperes más para probarla y sentirte radiante! Hazte con Karl Lagerfeld Fleur de Pecher y vive la primavera todo el año.",6266,https://www.rp-luxury.com/es/fragancias-femeninas/6266-4771-karl-lagerfeld-matieres-fleur-de-pecher-edp-100-ml.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6266.jpg
GUCCI FLORA GORGEOUS MAGNOLIA EDP,,50ml | 100ml,$219.600,,"Flora Gorgeous Magnolia hace aflorar su fuerza interior con un radiante y potente aroma a magnolia. Para intensificar la dulzura de la esencia de magnolia, los acordes de zarzamora añaden un toque afrutado y jugosos. La esencia de pachulí se utiliza como base que aporta un equilibrio entre frescura y sensualidad. Incorpora también una estela de ramín que añade un toque sutil y sexy. Los acordes de coco proporcionan una frescura suave y aditiva, y, por último, el absoluto de jazmín sambac añade la intensidad y la calidez de la naturaleza en combinación con unas notas de almizcle.",,https://www.rp-luxury.com/es/fragancias-femeninas/6252-4766-gucci-flora-gorgeous-magnolia-edp.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\sin_ref_3913681858536602101.jpg
NINA RICCI NINA NATURE EDITION LIMITEE EDT,,50ml | 80ml,$170.000,,"Combinando jazmín y vainilla con extracto natural de manzana, la nueva fragancia de Nina es un perfume floral verde que te transportará instantáneamente. Con un 91% de ingredientes de origen natural, la fórmula incluye el emblemático limón italiano suprarreciclado de Nina, elaborado a partir de frutos descartados del comercio alimentario por su aspecto o su tamaño. En lugar de ser desechados, estos limones que no cumplen con los criterios estéticos de la industria alimentaria son revalorizados para la perfumería. Se utiliza todo el fruto: el jugo, la cáscara y también la pulpa. El icónico frasco en forma de manzana de la nueva edición limitada Nina Nature , con un acabado verde opalino,  refleja a la perfección el frescor de la fragancia.",6242,https://www.rp-luxury.com/es/fragancias-femeninas/6242-4760-nina-ricci-nina-nature-edition-limitee-edt.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\6242.jpg
VIKTOR & ROLF FLOWERBOMB RUBY ORCHID EAU DE PARFUM,,50ml | 100ml,$286.000,,La cautivadora sensualidad de una carnal Orquídea Rubí. Esta fragancia para mujer es fenomenal para la primavera y el verano gracias a las notas florales y frutales del acorde de melocotón y la orquídea rubí.,7411,https://www.rp-luxury.com/es/fragancias-femeninas/7411-6031-viktor-rolf-flowerbomb-ruby-orchid-eau-de-parfum-.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\7411.jpg
CACHAREL ANAIS ANAIS PREMIER DÉLICE L'EAU (2018) EDT 100 Ml,,100ml,$115.500,$165.000,"Anaïs Anaïs Premier Délice L'Eau encarna el recuerdo de la transición de la adolescencia a la edad adulta, una verdadera leyenda, revisitada para deleite de las jóvenes de hoy.",7410,https://www.rp-luxury.com/es/fragancias-femeninas/7410-6028-cacharel-anais-anais-premier-delice-l-eau-2018-edt-100-ml-.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\7410.jpg
4711 BODY SPLASH SPARKLING ISLAND 250 Ml,,250 ml,$25.500,,"MEDITERRÁNEO. BRILLANTE. VIVAZ. Una fragancia como un cóctel de verano recién preparado, para una sensación de libertad infinita.",7300,https://www.rp-luxury.com/es/fragancias-femeninas/7300-5907-4711-body-splash-sparkling-island-250-ml.html#/52-talla-250_ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\7300.jpg
4711 BODY SPLASH GREEN OASIS 250 Ml,,250 ml,$25.500,,BRILLANTE. AVENTURERA. LIBRE. Una fragancia como un oasis verde lleno de aventuras para el verano de tu vida.,7298,https://www.rp-luxury.com/es/fragancias-femeninas/7298-5906-4711-body-splash-green-oasis-250-ml.html#/52-talla-250_ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\7298.jpg
ELIE SAAB LE PARFUM BRIDAL EAU DE PARFUM 90 Ml,,90ml,$220.000,,"UNA FRAGANCIA CAUTIVADORA La nueva fragancia emblemática promete una fragancia luminosa, tan preciosa y cautivadora como el más hermoso vestido de novia de ELIE SAAB.",7253,https://www.rp-luxury.com/es/fragancias-femeninas/7253-5855-elie-saab-le-parfum-bridal-eau-de-parfum-90-ml.html#/31-talla-90ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\7253.jpg
ELIE SAAB GIRL OF NOW ROSE PETAL 90 Ml,,90ml,$217.000,,"Un Ensueño Encantador Imaginada como un sueño floral, Girl of Now Rose Petal florece en una fragancia deslumbrante, fresca, floral y afrutada. Un alegre trío en la intersección de esta estela especiada y dulce abre paso a un mundo de ensueño sensorial y romántico.",7252,https://www.rp-luxury.com/es/fragancias-femeninas/7252-5854-elie-saab-girl-of-now-rose-petal-90-ml.html#/31-talla-90ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\7252.jpg
ELIE SAAB GIRL OF NOW EAU DE PARFUM 90 Ml,,90ml,$217.000,,"El perfume Girl of Now de ELIE SAAB captura el espíritu de la «Generación del Ahora». Espontáneo, alegre y despreocupado.",7251,https://www.rp-luxury.com/es/fragancias-femeninas/7251-5853-elie-saab-girl-of-now-eau-de-parfum-90-ml.html#/31-talla-90ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\7251.jpg
ELIE SAAB GIRL OF NOW LOVELY EAU DE PARFUM 90 Ml,,90ml,$217.000,,"Glamorosa y brillante, ¡es tan encantadora rodeada de flores extraordinarias! Un capítulo colorido y alegre en el mundo de las fragancias de ELIE SAAB, Girl of Now Lovely trae consigo un encantador set de bebidas espirituosas que te elevará el optimismo.",7250,https://www.rp-luxury.com/es/fragancias-femeninas/7250-5852-elie-saab-girl-of-now-lovely-eau-de-parfum-90-ml.html#/31-talla-90ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\7250.jpg
