nombre,marca,cantidades_disponibles,precio,precio_original,descripcion,referencia,url_producto,url_imagen
VIKTOR & ROLF FLOWERBOMB DEW EDP,,50ml | 100ml,$362.000,,"Menos es más, con el perfume Flowebomb dew de Viktor & Rolf, cada nuevo amanecer, cada nuevo día es una oportunidad de reconectar con lo esencial, de reconectar con nuestros sentidos, con una sensualidad pura, transparente similar a una segunda piel. Con flowerbomb dew, deshazte de todo lo innecesario. Elimina todas las capas que te esconden para explorar tus sentidos. Gotas de rocío puras y transparentes se mezclan con los pétalos de una rosa delicada. Ingredientes: La rosa de rocío hidropónica: Una rosa que crece en el agua desprendiendo un aroma que se funde en tu piel. Edición Limitada",4856,https://www.rp-luxury.com/es/fragancias-femeninas/4856-3907-viktor-rolf-flowerbomb-dew-edp.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4856.jpg
CACHAREL YES I AM GLORIOUS EAU DE PARFUM,,30ml | 50ml | 75ml,$86.900,,"Descubre el perfume de mujer Yes I Am Glorious de Cacharel La fragancia perfecta para mujeres entusiastas y radiantes como tú, fieles a sí mismas. Que creen en su poder y dicen lo que piensa, que brillan con luz propia y comparten generosamente su energía positiva. Yes I Am Glorious se abre con un néctar de melocotón aterciopelado y colorido vivificado por mandarina chispeante. Luego, el corazón floral, compuesto de magnolia brillante y bouquet de flores blancas aporta luminosidad a la fragancia. La base está hecha de un cremoso acorde de batido y untuoso sándalo. La mujer que usa Yes I Am Glorious brilla y comparte generosamente su energía positiva gracias a la firma Luminous Cremoso de la fragancia. Esta firma olfativa proviene de la mezcla única de magnolia brillante que irradia el suave y cremoso Milkshake Accord.",4855,https://www.rp-luxury.com/es/fragancias-femeninas/4855-2906-cacharel-yes-i-am-glorious-eau-de-parfum.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4855.jpg
KENZO FLOWER BY KENZO EAU DE TOILETTE,,30ml | 50ml | 100ml,$136.150,$194.500,"Una flor silvestre por naturaleza. Floreciendo con un rayo de luz, el nuevo Eau de Toilette FLOWER BY KENZO dispersa su suave aroma en una fragancia luminosa con una esencia revelada en lo íntimo. Con una explosión de frescura los limones de Sicilia, se entremezclan con el agua de rosa de Bulgaria, fundiéndose con los almizcles blancos y suaves toques de vainilla en el nuevo Eau de Toilette FLOWER BY KENZO. Esta fragancia floral almizclada es una creación delicada y radiante florecida en la naturaleza.",4850,https://www.rp-luxury.com/es/oportuluxury/4850-2892-kenzo-flower-by-kenzo-eau-de-toilette.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4850.jpg
GIORGIO ARMANI MY WAY EAU DE PARFUM,,30ml | 50ml | 90ml,$309.000,,"Descubre My Way, la nueva fragancia femenina de Giorgio Armani. El elegante eau de parfum es una invitación a ampliar tus horizontes y vivir encuentros significativos en todo el mundo. Un ramo de flores de color blanco brillante está encapsulado en una botella talismán, una metáfora del mundo. My Way Eau de Parfum es el aroma de los descubrimientos y las conexiones para una mujer de mente abierta, curiosa y auténtica que está lista para ampliar sus horizontes y vivir encuentros significativos en todo el mundo. Es un talismán que encapsula todos los encuentros que importan. Yo soy lo que vivo",4480,https://www.rp-luxury.com/es/fragancias-femeninas/4480-2651-giorgio-armani-my-way-eau-de-parfum-.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4480.jpg
KENZO L´EAU WATERCONSIOUS FEMME EDT 50 Ml,,50ml,$95.760,$136.800,L'EAU WATERCONSCIOUS KENZO te invita a surfear la icónica ola de Hokusai y sus colores vibrantes. Una fragancia fresca con acentos de libertad y juventud. Edición limitada,4812,https://www.rp-luxury.com/es/fragancias-femeninas/4812-3908-kenzo-leau-waterconsious-femme-edt-50-ml.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4812.jpg
NARCISO EAU NEROLI AMBREE EAU DE TOILETTE,,50ml,$194.000,,"NARCISO eau neroli ambrée NARCISO eau neroli ambrée, la nueva fragancia de Narciso Rodríguez, celebra la naturaleza de la atracción y el fino arte de la seducción con una nueva feminidad vibrante y una luminosidad fresca.",4782,https://www.rp-luxury.com/es/fragancias-femeninas/4782-3729-narciso-eau-neroli-ambree-eau-de-toilette.html#/33-talla-50ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4782.jpg
GUERLAIN AQUA ALLEGORIA FLORA SALVAGGIA EDT 75 Ml,,75ml,$200.000,,"Flora Salvaggia forma parte de la colección Aqua Allegoria de Guerlain. Esta colección de aguas frescas de estela sofisticada es una verdadera invitación a la evasión de los sentidos. Ofrece una fusión de notas inesperadas en torno a un ingrediente sublimado: la bergamota, un preciado cítrico, el auténtico ""oro verde de Calabria"". Flora Salvaggia es un Eau de Toilette revitalizante que evoca un campo de flores silvestres y la poesía de sus aromas. La fragancia encarna el espíritu de un bouquet de flores silvestres sobre una nube de almizcles blancos.",4730,https://www.rp-luxury.com/es/fragancias-femeninas/4730-4156-guerlain-aqua-allegoria-flora-salvaggia-edt-75-ml.html#/27-talla-75ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4730.jpg
MUGLER ANGEL EAU DE PARFUM x 100 Ml RECARGABLE,,100ml,$425.000,,"La mujer Ángel se atreve a hacer realidad sus sueños con su estrella azul como guía. Confiada y seductora, fascina a quienes se cruzan en su camino. Entre el poder y el placer, utiliza su ultrafeminidad como firma. Entre el cielo y la tierra, hace realidad sus sueños. Angel Eau de Parfum es el primer perfume Gourmand en el mundo de las fragancias. Ángel, más salvaje que los sueños. Vuelva a llenar su botella en cualquier lugar: en las tiendas con la Fuente MUGLER o en casa con las exclusivas Botellas de Recarga.",4727,https://www.rp-luxury.com/es/fragancias-femeninas/4727-4060-mugler-angel-eau-de-parfum-x-100-ml-recargable.html#/34-talla-100ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4727.jpg
GIVENCHY IRRESISTIBLE EAU DE TOILETTE,,35ml | 50ml | 80ml,$92.050,$131.500,"IRRESISTIBLE GIVENCHY, un perfume que te obliga a dejarlo ir. El nuevo Eau de Toilette IRRESISTIBLE de Givenchy jubila con encanto femenino, combinando una rosa radiante con la más tierna de las maderas almizcladas. Su fragancia de espíritu libre te invita a dejar ir y conectarte contigo mismo y con los demás. Este Eau de Toilette energiza el alma y une a las personas.",4725,https://www.rp-luxury.com/es/oportuluxury/4725-2820-givenchy-irresistible-eau-de-toilette-.html#/42-talla-35ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4725.jpg
OSCAR DE LA RENTA ALIBI EAU DE PARFUM,,30ml | 50ml | 100ml,$152.000,,"Oscar de la Renta se enorgullece de presentar Alibi Eau de Parfum, la primera fragancia diseñada para la casa por los co-directores creativos Fernando García y Laura Kim. “Nuestra visión para la fragancia Alibi era expresar la evolución de la mujer Oscar de la Renta y la dualidad de su feminidad moderna; chic y sensual pero con poder "". Dice Laura Kim. ""El mundo evoluciona y Oscar siempre nos dijo que evolucionáramos con él"". La fragancia coartada es una cautivadora dualidad de floralidad jugosa de espíritu libre en contraste con la sensualidad femenina en el fondo.",4717,https://www.rp-luxury.com/es/fragancias-femeninas/4717-2805-oscar-de-la-renta-alibi-eau-de-parfum-.html#/32-talla-30ml,C:\Users\Bruno\Downloads\Imagenes_fragancias_femeninas\4717.jpg
